raman_shift,raw_intensity,spike_candidate,processed_intensity
414.532,182.0,False,0.314878892733564
414.839,188.0,False,0.32525951557093424
415.145,186.0,False,0.3217993079584775
415.454,202.0,False,0.3494809688581315
415.761,170.0,False,0.29411764705882354
416.07,182.0,False,0.314878892733564
416.377,164.0,False,0.2837370242214533
416.683,186.0,False,0.3217993079584775
416.992,174.0,False,0.30103806228373703
417.299,192.0,False,0.33217993079584773
417.606,188.0,False,0.32525951557093424
417.914,162.0,False,0.28027681660899656
418.221,158.0,False,0.27335640138408307
418.53,172.0,False,0.2975778546712803
418.836,178.0,False,0.3079584775086505
419.143,164.0,False,0.2837370242214533
419.452,184.0,False,0.31833910034602075
419.758,180.0,False,0.31141868512110726
420.065,174.0,False,0.30103806228373703
420.374,172.0,False,0.2975778546712803
420.68,188.0,False,0.32525951557093424
420.987,178.0,False,0.3079584775086505
421.296,178.0,False,0.3079584775086505
421.602,168.0,False,0.2906574394463668
421.909,170.0,False,0.29411764705882354
422.217,172.0,False,0.2975778546712803
422.524,174.0,False,0.30103806228373703
422.83,166.0,False,0.28719723183391005
423.139,172.0,False,0.2975778546712803
423.446,164.0,False,0.2837370242214533
423.752,176.0,False,0.3044982698961938
424.061,166.0,False,0.28719723183391005
424.367,172.0,False,0.2975778546712803
424.674,158.0,False,0.27335640138408307
424.982,186.0,False,0.3217993079584775
425.289,172.0,False,0.2975778546712803
425.595,158.0,False,0.27335640138408307
425.904,148.0,False,0.2560553633217993
426.21,164.0,False,0.2837370242214533
426.516,162.0,False,0.28027681660899656
426.825,164.0,False,0.2837370242214533
427.131,164.0,False,0.2837370242214533
427.438,156.0,False,0.2698961937716263
427.746,172.0,False,0.2975778546712803
428.052,182.0,False,0.314878892733564
428.359,166.0,False,0.28719723183391005
428.667,174.0,False,0.30103806228373703
428.974,192.0,False,0.33217993079584773
429.28,186.0,False,0.3217993079584775
429.586,164.0,False,0.2837370242214533
429.895,180.0,False,0.31141868512110726
430.201,182.0,False,0.314878892733564
430.507,182.0,False,0.314878892733564
430.815,176.0,False,0.3044982698961938
431.122,172.0,False,0.2975778546712803
431.428,160.0,False,0.2768166089965398
431.734,164.0,False,0.2837370242214533
432.042,180.0,False,0.31141868512110726
432.349,160.0,False,0.2768166089965398
432.655,172.0,False,0.2975778546712803
432.961,170.0,False,0.29411764705882354
433.269,180.0,False,0.31141868512110726
433.576,176.0,False,0.3044982698961938
433.882,176.0,False,0.3044982698961938
434.19,160.0,False,0.2768166089965398
434.496,172.0,False,0.2975778546712803
434.802,192.0,False,0.33217993079584773
435.108,178.0,False,0.3079584775086505
435.417,166.0,False,0.28719723183391005
435.723,180.0,False,0.31141868512110726
436.029,182.0,False,0.314878892733564
436.335,182.0,False,0.314878892733564
436.643,192.0,False,0.33217993079584773
436.949,184.0,False,0.31833910034602075
437.255,170.0,False,0.29411764705882354
437.561,174.0,False,0.30103806228373703
437.869,190.0,False,0.328719723183391
438.175,172.0,False,0.2975778546712803
438.481,168.0,False,0.2906574394463668
438.787,178.0,False,0.3079584775086505
439.093,184.0,False,0.31833910034602075
439.401,190.0,False,0.328719723183391
439.707,182.0,False,0.314878892733564
440.013,166.0,False,0.28719723183391005
440.319,180.0,False,0.31141868512110726
440.627,196.0,False,0.3391003460207612
440.933,172.0,False,0.2975778546712803
441.239,170.0,False,0.29411764705882354
441.545,170.0,False,0.29411764705882354
441.851,168.0,False,0.2906574394463668
442.159,188.0,False,0.32525951557093424
442.465,170.0,False,0.29411764705882354
442.771,204.0,False,0.35294117647058826
443.076,172.0,False,0.2975778546712803
443.382,200.0,False,0.3460207612456747
443.69,176.0,False,0.3044982698961938
443.996,200.0,False,0.3460207612456747
444.302,188.0,False,0.32525951557093424
444.608,176.0,False,0.3044982698961938
444.913,196.0,False,0.3391003460207612
445.221,206.0,False,0.356401384083045
445.527,190.0,False,0.328719723183391
445.833,178.0,False,0.3079584775086505
446.139,180.0,False,0.31141868512110726
446.444,168.0,False,0.2906574394463668
446.752,222.0,False,0.38408304498269896
447.058,206.0,False,0.356401384083045
447.364,194.0,False,0.3356401384083045
447.669,190.0,False,0.328719723183391
447.975,192.0,False,0.33217993079584773
448.281,182.0,False,0.314878892733564
448.589,184.0,False,0.31833910034602075
448.894,178.0,False,0.3079584775086505
449.2,184.0,False,0.31833910034602075
449.505,182.0,False,0.314878892733564
449.811,206.0,False,0.356401384083045
450.117,198.0,False,0.34256055363321797
450.424,180.0,False,0.31141868512110726
450.73,210.0,False,0.3633217993079585
451.036,194.0,False,0.3356401384083045
451.341,182.0,False,0.314878892733564
451.647,188.0,False,0.32525951557093424
451.952,192.0,False,0.33217993079584773
452.258,198.0,False,0.34256055363321797
452.566,212.0,False,0.36678200692041524
452.871,196.0,False,0.3391003460207612
453.177,202.0,False,0.3494809688581315
453.482,212.0,False,0.36678200692041524
453.788,182.0,False,0.314878892733564
454.093,218.0,False,0.3771626297577855
454.399,200.0,False,0.3460207612456747
454.704,208.0,False,0.35986159169550175
455.012,222.0,False,0.38408304498269896
455.317,208.0,False,0.35986159169550175
455.622,218.0,False,0.3771626297577855
455.928,222.0,False,0.38408304498269896
456.233,208.0,False,0.35986159169550175
456.539,208.0,False,0.35986159169550175
456.844,206.0,False,0.356401384083045
457.15,214.0,False,0.370242214532872
457.455,196.0,False,0.3391003460207612
457.762,198.0,False,0.34256055363321797
458.068,204.0,False,0.35294117647058826
458.373,198.0,False,0.34256055363321797
458.678,198.0,False,0.34256055363321797
458.984,208.0,False,0.35986159169550175
459.289,196.0,False,0.3391003460207612
